"GIRRAWEEN","NT","0836","NT   "
"HERBERT","NT","0836","NT   "
"HUMPTY DOO","NT","0836","NT   "
"MANTON","NT","0837","NT   "
"NOONAMAH","NT","0837","NT   "
"BERRY SPRINGS","NT","0838","NT   "
"COOLALINGA","NT","0839","NT   "
"DUNDEE BEACH","NT","0840","NT   "
"DUNDEE DOWNS","NT","0840","NT   "
"DUNDEE FOREST","NT","0840","NT   "
"DARWIN RIVER","NT","0841","NT   "
"BATCHELOR","NT","0845","NT   "
"ADELAIDE RIVER","NT","0846","NT   "
"PINE CREEK","NT","0847","NT   "
"AUVERGNE","NT","0850","NT   "
"COSSACK","NT","0850","NT   "
"KATHERINE","NT","0850","NT   "
"KATHERINE EAST","NT","0850","NT   "
"KATHERINE SOUTH","NT","0850","NT   "
"BAINES","NT","0852","NT   "
"BARUNGA","NT","0852","NT   "
"BESWICK","NT","0852","NT   "
"DALY WATERS","NT","0852","NT   "
"DUNMARRA","NT","0852","NT   "
"ELSEY STATION","NT","0852","NT   "
"KALKARINDJI","NT","0852","NT   "
"KALKARINGI","NT","0852","NT   "
"KNUCKEYS LAGOON","NT","0852","NT   "
"LAJAMANU","NT","0852","NT   "
"LARRIMAH","NT","0852","NT   "
"MANBULLOO","NT","0852","NT   "
"MARANBOY","NT","0852","NT   "
"MATARANKA","NT","0852","NT   "
"NGUKURR","NT","0852","NT   "
"ROBINSON RIVER","NT","0852","NT   "
"TIMBER CREEK","NT","0852","NT   "
"VICTORIA RIVER DOWNS","NT","0852","NT   "
"WAVE HILL","NT","0852","NT   "
"YARRALIN","NT","0852","NT   "
"TINDAL","NT","0853","NT   "
"TINDAL RAAF","NT","0853","NT   "
"BORROLOOLA","NT","0854","NT   "
"KING ASH BAY","NT","0854","NT   "
"BARKLY HOMESTEAD","NT","0860","NT   "
"TENNANT CREEK","NT","0860","NT   "
"BRUNCHILLY","NT","0861","NT   "
"AVON DOWNS","NT","0862","NT   "
"CRESSWELL DOWNS","NT","0862","NT   "
"ELLIOTT","NT","0862","NT   "
"HELEN SPRINGS","NT","0862","NT   "
"MUCKATY STATION","NT","0862","NT   "
"NEWCASTLE WATERS","NT","0862","NT   "
"PHILLIP CREEK STATION","NT","0862","NT   "
"RENNER SPRINGS","NT","0862","NT   "
"THREE WAYS","NT","0862","NT   "
"WARREGO","NT","0862","NT   "
"WOLLOGORANG STATION","NT","0862","NT   "
"WYCLIFFE WELL","NT","0862","NT   "
"AILERON","NT","0870","ASP  "
"ALCOOTA","NT","0870","ASP  "
"ALICE SPRINGS","NT","0870","ASP  "
"AMMAROO","NT","0870","ASP  "
"ANGAS DOWNS","NT","0870","ASP  "
"ANNINGIE","NT","0870","ASP  "
"ARALUEN","NT","0870","ASP  "
"BRAITLING","NT","0870","ASP  "
"CICCONE","NT","0870","ASP  "
"CURTIN SPRINGS","NT","0870","ASP  "
"DE ROSE HILL","NT","0870","ASP  "
"DERWENT","NT","0870","ASP  "
"EAST SIDE","NT","0870","ASP  "
"ELKEDRA","NT","0870","ASP  "
"EPENARRA","NT","0870","ASP  "
"GILES","NT","0870","ASP  "
"GILLEN","NT","0870","ASP  "
"HAYFIELD","NT","0870","ASP  "
"LARAPINTA","NT","0870","ASP  "
"MT JOHNS","NT","0870","ASP  "
"PALMER VALLEY","NT","0870","ASP  "
"ROSS","NT","0870","ASP  "
"SADADEEN","NT","0870","ASP  "
"STURT PLAIN","NT","0870","ASP  "
"TEMPLEY DOWNS","NT","0870","ASP  "
"THE GAP","NT","0870","ASP  "
"VAUGHAN SPRINGS","NT","0870","ASP  "
"WAUCHOPE WELL","NT","0870","ASP  "
"YUMBAH","NT","0870","ASP  "
"AHERRENGE","NT","0872","NT   "
"ALI CURUNG","NT","0872","NT   "
"AMATA","NT","0872","NT   "
"AMOONGUNA","NT","0872","NT   "
"ANTEWENEGERRDE","NT","0872","NT   "
"AREYONGA","NT","0872","NT   "
"ATITJERE","NT","0872","NT   "
"AYERS ROCK","NT","0872","NT   "
"BARROW CREEK","NT","0872","NT   "
"CANTEEN CREEK","NT","0872","NT   "
"DOCKER RIVER","NT","0872","NT   "
"ERLDUNDA","NT","0872","NT   "
"ERNABELLA","NT","0872","NT   "
"FINKE","NT","0872","NT   "
"FREGON","NT","0872","NT   "
"GHAN","NT","0872","NT   "
"GIBSON DESERT NORTH","NT","0872","NT   "
"GIBSON DESERT SOUTH","NT","0872","NT   "
"HAASTS BLUFF","NT","0872","NT   "
"HART RANGE","NT","0872","NT   "
"HERMANNSBURG","NT","0872","NT   "
"IMANPA","NT","0872","NT   "
"INDULKANA","NT","0872","NT   "
"JAY CREEK","NT","0872","NT   "
"KALTUKATJARA","NT","0872","NT   "
"KINTORE","NT","0872","NT   "
"KIWIRRKURRA","NT","0872","NT   "
"KULGERA","NT","0872","NT   "
"MIMILI","NT","0872","NT   "
"MOUNT LIEBIG","NT","0872","NT   "
"MT LIEBIG","NT","0872","NT   "
